Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
3 or 4 Unit	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	68	1473	1.10E-05
5 to 9 Unit	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	64	1560	1.16E-05
50 or more Unit	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	10	106	7.91E-07
Mobile Home	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	721	13864	0.0001035
Single-Family Attached	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	447	3.34E-06
Single-Family Detached	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2080	38280	0.000285774
10 to 19 Unit	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	13	446	3.28E-06
2 Unit	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	36	524	3.85E-06
20 to 49 Unit	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1428	117	8.60E-07
3 or 4 Unit	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	13	224	1.65E-06
5 to 9 Unit	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	13	366	2.69E-06
50 or more Unit	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1994	117	8.60E-07
Mobile Home	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	413	9490	6.98E-05
Single-Family Attached	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	15	143	1.05E-06
Single-Family Detached	"AL, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1737	32236	0.000237056
10 to 19 Unit	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	201	7256	5.27E-05
2 Unit	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	1983	1.44E-05
20 to 49 Unit	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	146	4644	3.37E-05
3 or 4 Unit	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	102	3105	2.25E-05
5 to 9 Unit	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	174	5505	3.99E-05
50 or more Unit	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	148	2990	2.17E-05
Mobile Home	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	85	2053	1.49E-05
Single-Family Attached	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	1134	8.23E-06
Single-Family Detached	"AL, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1202	27812	0.00020181
10 to 19 Unit	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	453	3.35E-06
2 Unit	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	67	1823	1.35E-05
20 to 49 Unit	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	496	3.67E-06
3 or 4 Unit	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	83	2733	2.02E-05
5 to 9 Unit	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	51	1787	1.32E-05
50 or more Unit	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	513	3.80E-06
Mobile Home	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	884	18296	0.000135357
Single-Family Attached	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	368	2.72E-06
Single-Family Detached	"AL, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2066	37995	0.000281094
10 to 19 Unit	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	956	7.06E-06
2 Unit	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	51	1578	1.16E-05
20 to 49 Unit	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	15	354	2.61E-06
3 or 4 Unit	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	45	1056	7.79E-06
5 to 9 Unit	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	1442	1.06E-05
50 or more Unit	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	934	6.89E-06
Mobile Home	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	669	15703	0.000115907
Single-Family Attached	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	793	5.85E-06
Single-Family Detached	"AL, 01800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2122	42959	0.000317088
10 to 19 Unit	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	117	4267	3.05E-05
2 Unit	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	79	3124	2.23E-05
20 to 49 Unit	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	64	2512	1.80E-05
3 or 4 Unit	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	1882	1.35E-05
5 to 9 Unit	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	98	3461	2.47E-05
50 or more Unit	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	2310	1.65E-05
Mobile Home	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	331	11007	7.87E-05
Single-Family Attached	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	75	2034	1.45E-05
Single-Family Detached	"AL, 01900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1417	38375	0.000274404
10 to 19 Unit	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	114	4543	3.36E-05
2 Unit	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	1523	1.13E-05
20 to 49 Unit	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	64	2060	1.52E-05
3 or 4 Unit	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	168	4538	3.35E-05
5 to 9 Unit	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	238	9238	6.83E-05
50 or more Unit	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	105	2322	1.72E-05
Mobile Home	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	2147	1.59E-05
Single-Family Attached	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	152	2760	2.04E-05
Single-Family Detached	"AL, 02000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2873	61481	0.000454444
10 to 19 Unit	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	28	1219	8.97E-06
2 Unit	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	27	624	4.59E-06
20 to 49 Unit	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	15	485	3.57E-06
3 or 4 Unit	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	56	1507	1.11E-05
5 to 9 Unit	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	1927	1.42E-05
50 or more Unit	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1994	171	1.26E-06
Mobile Home	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	602	14898	0.000109658
Single-Family Attached	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	30	762	5.61E-06
Single-Family Detached	"AL, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2546	55374	0.000407586
10 to 19 Unit	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	182	1.34E-06
2 Unit	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	42	833	6.16E-06
20 to 49 Unit	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	25	328	2.42E-06
3 or 4 Unit	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	73	1798	1.33E-05
5 to 9 Unit	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	66	1691	1.25E-05
50 or more Unit	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1994	182	1.34E-06
Mobile Home	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	981	18898	0.000139654
Single-Family Attached	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	415	3.07E-06
Single-Family Detached	"AL, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2668	45330	0.000334984
10 to 19 Unit	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	274	2.03E-06
2 Unit	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	86	1168	8.65E-06
20 to 49 Unit	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	250	1.85E-06
3 or 4 Unit	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	94	1700	1.26E-05
5 to 9 Unit	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	78	1950	1.44E-05
50 or more Unit	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	12	186	1.38E-06
Mobile Home	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1018	11539	8.54E-05
Single-Family Attached	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	64	990	7.33E-06
Single-Family Detached	"AL, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3358	41011	0.000303632
10 to 19 Unit	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	1111	8.14E-06
2 Unit	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	138	2835	2.08E-05
20 to 49 Unit	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	15	534	3.91E-06
3 or 4 Unit	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	131	3549	2.60E-05
5 to 9 Unit	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	118	3710	2.72E-05
50 or more Unit	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	398	2.91E-06
Mobile Home	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	831	14832	0.000108613
Single-Family Attached	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	40	543	3.98E-06
Single-Family Detached	"AL, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2439	43157	0.000316032
10 to 19 Unit	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	171	1445	1.06E-05
2 Unit	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	255	2495	1.84E-05
20 to 49 Unit	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	709	5.22E-06
3 or 4 Unit	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	330	3382	2.49E-05
5 to 9 Unit	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	314	3113	2.29E-05
50 or more Unit	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	106	599	4.41E-06
Mobile Home	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1513	16749	0.000123329
Single-Family Attached	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	154	1313	9.67E-06
Single-Family Detached	"AL, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	7876	62779	0.000462264
10 to 19 Unit	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	76	4119	2.91E-05
2 Unit	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	58	1738	1.23E-05
20 to 49 Unit	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	70	2956	2.09E-05
3 or 4 Unit	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	80	2755	1.95E-05
5 to 9 Unit	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	74	3093	2.19E-05
50 or more Unit	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	362	13607	9.63E-05
Mobile Home	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	423	13285	9.40E-05
Single-Family Attached	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	57	1507	1.07E-05
Single-Family Detached	"AL, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2721	71104	0.000502963
10 to 19 Unit	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	66	1561	1.17E-05
2 Unit	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	140	2564	1.92E-05
20 to 49 Unit	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	39	845	6.34E-06
3 or 4 Unit	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	132	2606	1.95E-05
5 to 9 Unit	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	1787	1.34E-05
50 or more Unit	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	100	1842	1.38E-05
Mobile Home	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	39	685	5.14E-06
Single-Family Attached	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	40	593	4.45E-06
Single-Family Detached	"AL, 02701"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2290	38541	0.000289108
10 to 19 Unit	"AL, 02702"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	154	6298	4.60E-05
2 Unit	"AL, 02702"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	18	495	3.61E-06
20 to 49 Unit	"AL, 02702"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	76	2394	1.75E-05
3 or 4 Unit	"AL, 02702"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	57	1315	9.60E-06
5 to 9 Unit	"AL, 02702"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	189	5843	4.26E-05
50 or more Unit	"AL, 02702"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	90	1993	1.45E-05
